Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
COHN,Dividends,Cohen & Company Inc,US,2280,1,USD,Equities,$0.25 ,$570.00 ,03/21/2023 - 00:00
BSVN,Dividends,Bank7 Corp,US,865,1,USD,Equities,$0.16 ,$138.40 ,03/21/2023 - 00:00
HBAN,Dividends,"Huntington Bancshares, Inc.",US,-1437,1,USD,Equities,$0.16 ,($222.74),03/17/2023 - 00:00
LRFC,Dividends,Logan Ridge Finance Corporation,US,1100,1,USD,Equities,$0.18 ,$198.00 ,03/17/2023 - 00:00
ICE,Dividends,Intercontinental Exchange Inc,US,-240,1,USD,Equities,$0.42 ,($100.80),03/16/2023 - 00:00
AIG,Dividends,American International Group Inc,US,-381,1,USD,Equities,$0.32 ,($121.92),03/16/2023 - 00:00
SON,Market - Buy,Sonoco Products Co.,US,500,1,USD,Equities,$56.82 ,"($28,410.00)",03/10/2023 - 10:53
FIS,Dividends,"Fidelity National Information Services, Inc.",US,-370,1,USD,Equities,$0.52 ,($192.40),03/09/2023 - 00:00
CME,Dividends,CME Group Inc - Ordinary Shares - Class A,US,-125,1,USD,Equities,$1.10 ,($137.50),03/09/2023 - 00:00
PEG,Dividends,Public Service Enterprise Group Inc.,US,-385,1,USD,Equities,$0.57 ,($219.45),03/09/2023 - 00:00
SVT,Market - Buy,"Servotronics, Inc.",US,1900,1,USD,Equities,$11.85 ,"($22,515.00)",03/03/2023 - 14:37
KOSS,Market - Sell,Koss Corp.,US,-3500,1,USD,Equities,$5.07 ,"$17,745.00 ",03/03/2023 - 14:32
CSSE,Market - Sell,Chicken Soup for the Soul Entertainment Inc - Ordinary Shares - Class A,US,-3250,1,USD,Equities,$4.13 ,"$13,422.50 ",03/03/2023 - 14:31
MTB,Dividends,M & T Bank Corp,US,-133,1,USD,Equities,$1.30 ,($172.90),03/03/2023 - 00:00
GS,Dividends,"Goldman Sachs Group, Inc.",US,-62,1,USD,Equities,$2.50 ,($155.00),03/01/2023 - 00:00
GRNT,Dividends,Granite Ridge Resources Inc - Ordinary Shares - Class A,US,2500,1,USD,Equities,$0.11 ,$275.00 ,02/28/2023 - 00:00
BAM,Dividends,Brookfield Asset Management Inc. - Ordinary Shares - Class A,US,-870,1,USD,Equities,$0.32 ,($278.40),02/27/2023 - 00:00
NEE,Dividends,NextEra Energy Inc,US,-281,1,USD,Equities,$0.47 ,($131.37),02/27/2023 - 00:00
WELL,Dividends,Welltower Inc,US,-505,1,USD,Equities,$0.61 ,($308.05),02/27/2023 - 00:00
EXC,Dividends,Exelon Corp.,US,-600,1,USD,Equities,$0.36 ,($216.00),02/24/2023 - 00:00
RTX,Dividends,Raytheon Technologies Corporation,US,-235,1,USD,Equities,$0.55 ,($129.25),02/23/2023 - 00:00
OWL,Dividends,Blue Owl Capital Inc - Ordinary Shares - Class A,US,-2200,1,USD,Equities,$0.13 ,($286.00),02/23/2023 - 00:00
SO,Dividends,Southern Company,US,-341,1,USD,Equities,$0.68 ,($231.88),02/17/2023 - 00:00
DUK,Dividends,Duke Energy Corp.,US,-240,1,USD,Equities,$1.01 ,($241.20),02/16/2023 - 00:00
AFL,Dividends,Aflac Inc.,US,-335,1,USD,Equities,$0.42 ,($140.70),02/14/2023 - 00:00
VLO,Dividends,Valero Energy Corp.,US,-172,1,USD,Equities,$1.02 ,($175.44),02/13/2023 - 00:00
WEC,Dividends,WEC Energy Group Inc,US,-245,1,USD,Equities,$0.78 ,($191.10),02/13/2023 - 00:00
F,Dividends,Ford Motor Co.,US,1660,1,USD,Equities,$0.65 ,"$1,079.00 ",02/10/2023 - 00:00
CLB,Dividends,Core Laboratories N.V.,US,1100,1,USD,Equities,$0.01 ,$11.00 ,02/10/2023 - 00:00
AEP,Dividends,American Electric Power Company Inc.,US,251,1,USD,Equities,$0.83 ,$208.33 ,02/09/2023 - 00:00
AMP,Dividends,Ameriprise Financial Inc,US,-71,1,USD,Equities,$1.25 ,($88.75),02/09/2023 - 00:00
TFC,Dividends,Truist Financial Corporation,US,-510,1,USD,Equities,$0.52 ,($265.20),02/09/2023 - 00:00
SCHW,Dividends,Charles Schwab Corp.,US,-390,1,USD,Equities,$0.25 ,($97.50),02/09/2023 - 00:00
MET,Dividends,Metlife Inc,US,-303,1,USD,Equities,$0.50 ,($151.50),02/06/2023 - 00:00
COF,Dividends,Capital One Financial Corp.,US,-215,1,USD,Equities,$0.60 ,($129.00),02/03/2023 - 00:00
WFC,Dividends,Wells Fargo & Co.,US,-708.56,1,USD,Equities,$0.30 ,($212.57),02/02/2023 - 00:00
MS,Dividends,Morgan Stanley,US,-263,1,USD,Equities,$0.78 ,($203.83),01/30/2023 - 00:00
BMO,Dividends,Bank of Montreal,US,-235,1,USD,Equities,$1.07 ,($252.13),01/27/2023 - 00:00
RY,Dividends,Royal Bank Of Canada,US,-234,1,USD,Equities,$0.99 ,($231.08),01/25/2023 - 00:00
BAM,Short Proceeds,Brookfield Asset Management Inc. - Ordinary Shares - Class A,US,-320,1,USD,Equities,$31.32 ,"$10,022.40 ",01/20/2023 - 09:32
NVCN,Market - Sell,Neovasc Inc,US,-555,1,USD,Equities,$27.70 ,"$15,373.50 ",01/20/2023 - 09:32
GME,Short Proceeds,Gamestop Corporation - Ordinary Shares - Class A,US,-525,1,USD,Equities,$19.11 ,"$10,032.75 ",01/20/2023 - 09:30
D,Short Proceeds,Dominion Energy Inc,US,-167,1,USD,Equities,$61.87 ,"$10,332.29 ",01/20/2023 - 09:30
BAC,Short Proceeds,Bank Of America Corp.,US,-300,1,USD,Equities,$33.30 ,"$9,990.00 ",01/20/2023 - 09:30
WELL,Short Proceeds,Welltower Inc,US,-140,1,USD,Equities,$71.55 ,"$10,017.00 ",01/20/2023 - 09:30
WFC,Short Proceeds,Wells Fargo & Co.,US,-232,1,USD,Equities,$43.07 ,"$9,992.24 ",01/20/2023 - 09:30
BK,Dividends,Bank Of New York Mellon Corp,US,525,1,USD,Equities,$0.37 ,$194.25 ,01/20/2023 - 00:00
VNCE,Market - Buy,Vince Holding Corp,US,3000,1,USD,Equities,$7.68 ,"($23,040.00)",01/18/2023 - 13:52
KEQU,Market - Buy,Kewaunee Scientific Corporation,US,1380,1,USD,Equities,$16.50 ,"($22,770.00)",01/18/2023 - 13:00
AVB,Short Proceeds,Avalonbay Communities Inc.,US,-150,1,USD,Equities,$167.87 ,"$25,180.50 ",01/13/2023 - 15:45
AVB,Short Proceeds,Avalonbay Communities Inc.,US,-150,1,USD,Equities,$167.87 ,"$25,180.50 ",01/13/2023 - 15:44
CKX,Market - Buy,CKX Lands Inc,US,2000,1,USD,Equities,$10.47 ,"($20,940.00)",01/13/2023 - 15:36
LRFC,Market - Buy,Logan Ridge Finance Corporation,US,1100,1,USD,Equities,$22.90 ,"($25,190.00)",01/13/2023 - 15:33
